trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
18,False,"{'a': 0.7, 'e': 0.9481424683657108}",25,0,-135.41793472185728,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.7, 'e': 0.9195998272243326}",30,14,4.880123685192459,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.7, 'e': 0.8881360440228088}",20,0,-110.25357096866871,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
21,False,"{'a': 0.7, 'e': 0.8537598244759141}",20,0,-145.56163861634192,"{0: 9, 1: 4, 2: 3, 3: 3, 4: 1}",0
22,False,"{'a': 0.7, 'e': 0.8165652816099807}",25,0,-48.37459877234393,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
23,False,"{'a': 0.7, 'e': 0.7767426809274218}",20,0,-21.60025526857339,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
24,False,"{'a': 0.7, 'e': 0.7345838893836802}",20,0,-72.68885747182844,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
25,False,"{'a': 0.7, 'e': 0.6904807451478614}",25,0,-154.3910005060072,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
26,False,"{'a': 0.7, 'e': 0.644915204228644}",20,0,-108.2631355433215,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
27,False,"{'a': 0.7, 'e': 0.5984411347217123}",20,0,-27.556549961886358,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
28,False,"{'a': 0.7, 'e': 0.5516588652782876}",25,0,-27.668777553805487,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
29,False,"{'a': 0.7, 'e': 0.5051847957713559}",25,2,-32.04852281077597,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 0}",1
30,False,"{'a': 0.7, 'e': 0.4596192548521384}",20,3,-57.214537225380134,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
31,False,"{'a': 0.7, 'e': 0.41551611061631977}",20,0,-10.301457546038788,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
32,False,"{'a': 0.7, 'e': 0.3733573190725782}",20,9,-1.875142311411432,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
33,False,"{'a': 0.7, 'e': 0.33353471839001925}",20,0,-52.35435183991824,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
